"Marca temporal"                  ,"¿Qué edad tienes?" ,"Provincia de Residencia" ,"En caso de residir en la Habana, ¿puede especificar el municipio?" ,"Creencia religiosa"       ,"¿Qué situación te describe mejor?" ,"Orientación sexual" ,"Sexo asignado al nacer:" ,"Identidad de género:"                            ,"Nivel Académico"                      ,"A tu opinión, ¿qué tan generalizado está el lenguaje ofensivo hacia personas de la comunidad LGBTIQ+?" ,"¿Qué tan frecuente se ven parejas del mismo sexo caminando de la mano en público?" ,"¿Qué tan frecuente se ven parejas heterosexuales caminando de la mano en público?" ,"¿Es necesaria la capacitación de funcionarios públicos (por ejemplo: policías, maestros, etc) sobre los derechos de las personas LGBTIQ+?" ,"¿Es necesario abordar temas sobre orientación sexual e identidad de género en la etapa escolar?" ,"¿Consideras que la comunidad LGBTIQ+ está sobre-sexualizada?" ,"Sobre su respuesta anterior, explique el porqué de su selección. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"¿Es necesario la celebración del Orgullo en Cuba?" ,"¿Los subgrupos L,G,B deberían ser separados de TQI+?" ,"Sobre su respuesta anterior, explique el porqué de su selección."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"¿Es difícil encontrar una pareja monógama en la comunidad LGBTIQ+?" ,"¿Ha sido víctima de agresión, en su sentido más general, por su orientación sexual/ identidad de género?" ,"En caso positivo de la pregunta anterior, ¿podría especificar en que contexto?"                     ,"¿Te harían sentir cómodo políticas antidiscriminatorias referidas a la orientación sexual/identidad de género en el lugar de trabajo?" ,"¿Vives abiertamente tu orientación sexual/identidad de género?" ,"¿Los shows de Drag son aptos para toda la población (menores incluidos)?" ,"¿Qué tan representativas son las redes sociales y app de citas, en tu vida sentimental y sexual?" ,"¿Qué tan desagradable calificaría su experiencia en Apps de citas? en una escala del 1 al 10." ,"¿Por qué?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"En lo correspondiente a su orientación sexual/ identidad de género, ¿qué tan satisfecho se encuentra con su vida? en una escala del 1 al 10." ,""
"2024/03/09 11:00:27 a. m. GMT-4" ,"18"                ,"Matanzas"                ,"Plaza de La Revolución"                                            ,"Protestante"              ,"Viviendo con pareja/cónyuge."      ,"Heterosexual."      ,"Femenino"                ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Medio-Superior (Preuniversitario)"    ,"(0) Desconozco"                                                                                        ,"(2) Muy frecuentemente"                                                            ,"(1) Todo el tiempo"                                                                ,"En desacuerdo."                                                                                                                            ,"No lo considero apropiado."                                                                      ,"No tengo una opinión formada."                                ,"No sé casi nada al respecto del tema,ya q no es d mi interés "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"No es para nada necesario."                        ,"No tengo una opinión formada."                        ,"Xq no se del tema,ya q no m interesa en lo absoluto "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"No tengo una opinión formada."                                                                                                         ,"Abiertamente, sin filtros"                                      ,"No tengo una opinión formada."                                            ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 11:02:13 a. m. GMT-4" ,"22"                ,"La Habana"               ,"Boyeros"                                                           ,"Agnósticismo"             ,"No estoy en una relación."         ,"Homosexual."        ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Medio-Superior (Preuniversitario)"    ,"(2) Poco generalizado"                                                                                 ,"(4) Rara vez"                                                                      ,"(1) Todo el tiempo"                                                                ,"Muy de acuerdo."                                                                                                                           ,"Sí, en la educación primaria."                                                                   ,"Sí, totalmente de acuerdo."                                   ,"Los estereotipos hacen daño al generalizar a todos, sí, pero se forman sobre verdades. En ese sentido, ciertamente la mayoría de la comunidad solo busca, habla y piensa en sexo ocasional. La ropa de muchos es altamente sexualizada. Una gran parte se dedica a la prostitución. "                                                                                                                                                                                                                                                                                                                                                                                       ,"No es necesario, pero no me molestaría."           ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Es difícil, pero no imposible."                                     ,"Si, agresión verbal.;Sí, agresión simbólica."                                                             ,"Contexto académico.;Contexto familiar."                                                             ,"De acuerdo."                                                                                                                           ,"Abiertamente, sin filtros"                                      ,"En desacuerdo."                                                           ,"Algunas de mis relaciones/encuentros las he conocido online"                                      ,"1"                                                                                             ,"Solo se busca sexo, todo es asquerosamente demasiado directo. Hay gente casi analfabeta, supermaleducada. El 80% de los perfiles son scorts. Apps superficiales. "                                                                                                                                                                                                                                                                                                                                                         ,"3"                                                                                                                                            ,""
"2024/03/09 11:02:28 a. m. GMT-4" ,"20"                ,"La Habana"               ,"Playa"                                                             ,"Ateísmo"                  ,"No estoy en una relación."         ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Medio-Superior (Preuniversitario)"    ,"(3) Generalizado"                                                                                      ,"(4) Rara vez"                                                                      ,"(2) Muy frecuentemente"                                                            ,"Muy de acuerdo."                                                                                                                           ,"No tengo una opinión formada."                                                                   ,"No tengo una opinión formada."                                ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Sí, es muy necesario."                             ,"No tiene sentido tal separación."                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"Muy de acuerdo."                                                                                                                       ,"Abiertamente, sin filtros"                                      ,"No tengo una opinión formada."                                            ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 11:02:30 a. m. GMT-4" ,"40"                ,"Artemisa"                ,""                                                                  ,"Otra"                     ,"Viviendo con pareja/cónyuge."      ,"Bisexual."          ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Técnico Medio"                        ,"(2) Poco generalizado"                                                                                 ,"(2) Muy frecuentemente"                                                            ,"(1) Todo el tiempo"                                                                ,"Esta bien actualmente."                                                                                                                    ,"No lo considero apropiado."                                                                      ,"Tal vez."                                                     ,"Soy bi , pero considero que en las escuelas solo temas de salud sexual "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"No es para nada necesario."                        ,"Tal vez, deberían diferenciarse."                     ,"Son tantos y hay hasta extremistas "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"Es difícil, pero no imposible."                                     ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"Está bien actualmente."                                                                                                                ,"Selectivamente abierta."                                        ,"En desacuerdo."                                                           ,"No suelo quedar con personas que conozco online."                                                 ,"1"                                                                                             ,"Di 1 porque nunca las e usado "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,"9"                                                                                                                                            ,""
"2024/03/09 11:03:32 a. m. GMT-4" ,"57"                ,"La Habana"               ,"Habana Vieja"                                                      ,"Ateísmo"                  ,"Viviendo con pareja/cónyuge."      ,"Homosexual."        ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Medio-Superior (Preuniversitario)"    ,"(3) Generalizado"                                                                                      ,"(4) Rara vez"                                                                      ,"(2) Muy frecuentemente"                                                            ,"Muy de acuerdo."                                                                                                                           ,"Sí, en la educación secundaria."                                                                 ,"Tal vez."                                                     ,"Nos tildan de pensar en sexo las 24 horas cosa que no es así …. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Sí, es muy necesario."                             ,"No tiene sentido tal separación."                     ,"Estamos hablando de inclusión…..prefiero decir humanidad que somos todos "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"No es tan dificil, solo hay que buscar en el lugar correcto."       ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"De acuerdo."                                                                                                                           ,"Abiertamente, sin filtros"                                      ,"No tengo una opinión formada."                                            ,"Algunas de mis relaciones/encuentros las he conocido online"                                      ,"7"                                                                                             ,"Da la posibilidad de conocer mucho más allá de tu ámbito cercano …. Va mucho más allá de las fronteras "                                                                                                                                                                                                                                                                                                                                                                                                                   ,"10"                                                                                                                                           ,""
"2024/03/09 11:04:49 a. m. GMT-4" ,"35"                ,"Villa Clara"             ,""                                                                  ,"Ateísmo"                  ,"Viviendo con pareja/cónyuge."      ,"Homosexual."        ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(3) Generalizado"                                                                                      ,"(4) Rara vez"                                                                      ,"(2) Muy frecuentemente"                                                            ,"De acuerdo."                                                                                                                               ,"No tengo una opinión formada."                                                                   ,"Tal vez."                                                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Sí, es muy necesario."                             ,"No tiene sentido tal separación."                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Es difícil, pero no imposible."                                     ,"Sí, agresión simbólica."                                                                                  ,"Amigos y relaciones."                                                                               ,"De acuerdo."                                                                                                                           ,"Abiertamente, sin filtros"                                      ,"En desacuerdo."                                                           ,"Algunas de mis relaciones/encuentros las he conocido online"                                      ,"6"                                                                                             ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"8"                                                                                                                                            ,""
"2024/03/09 11:05:12 a. m. GMT-4" ,"25"                ,"La Habana"               ,"Plaza de La Revolución"                                            ,"Ateísmo"                  ,"Viviendo con pareja/cónyuge."      ,"Heterosexual."      ,"Femenino"                ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(3) Generalizado"                                                                                      ,"(4) Rara vez"                                                                      ,"(2) Muy frecuentemente"                                                            ,"Muy de acuerdo."                                                                                                                           ,"Sí, en la educación primaria."                                                                   ,"No, la comunidad es más que solo sexo."                       ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Sí, es muy necesario."                             ,"No tiene sentido tal separación."                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"De acuerdo."                                                                                                                           ,"Abiertamente, sin filtros"                                      ,"De acuerdo."                                                              ,"Algunas de mis relaciones/encuentros las he conocido online"                                      ,"6"                                                                                             ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"8"                                                                                                                                            ,""
"2024/03/09 11:05:16 a. m. GMT-4" ,"20"                ,"La Habana"               ,"Playa"                                                             ,"Ateísmo"                  ,"En una relación sin vivir juntos"  ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(2) Poco generalizado"                                                                                 ,"(3) A veces"                                                                       ,"(2) Muy frecuentemente"                                                            ,"Muy de acuerdo."                                                                                                                           ,"Sí, en la educación primaria."                                                                   ,"No tengo una opinión formada."                                ,"No tengo mucho idea de porqué estaría o no sexualizada la comunidad "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"No es necesario, pero no me molestaría."           ,"No tiene sentido tal separación."                     ,"Para que? Eso le partiría la cabeza a la gente"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"No es tan dificil, solo hay que buscar en el lugar correcto."       ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"De acuerdo."                                                                                                                           ,""                                                               ,"Muy en desacuerdo."                                                       ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 11:11:42 a. m. GMT-4" ,"21"                ,"La Habana"               ,"Marianao"                                                          ,"Ateísmo"                  ,"En una relación sin vivir juntos"  ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Medio-Superior (Preuniversitario)"    ,"(3) Generalizado"                                                                                      ,"(3) A veces"                                                                       ,"(1) Todo el tiempo"                                                                ,"De acuerdo."                                                                                                                               ,"Sí, en la educación primaria."                                                                   ,"No, la comunidad es más que solo sexo."                       ,"Porque creo que las personas son más que solo sexo y la comunidad LGBT tiene toda una cultura que hay que tener en cuenta "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Sí, es muy necesario."                             ,"No tiene sentido tal separación."                     ,"Que sentido tiene eso xd"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"Muy de acuerdo."                                                                                                                       ,"Abiertamente, sin filtros"                                      ,"De acuerdo."                                                              ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,"Nunca he usado ninguna "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"10"                                                                                                                                           ,""
"2024/03/09 11:11:54 a. m. GMT-4" ,"25"                ,"La Habana"               ,"Guanabacoa"                                                        ,"Agnósticismo"             ,"En una relación sin vivir juntos"  ,"Homosexual."        ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(4) Muy Generalizado"                                                                                  ,"(4) Rara vez"                                                                      ,"(1) Todo el tiempo"                                                                ,"Muy de acuerdo."                                                                                                                           ,"Sí, en la educación primaria."                                                                   ,"No, la comunidad es más que solo sexo."                       ,"Creo que las respuestas anteriores están mal formuladas. Culturalmente la comunidad LGTB está hipersexualidada. Por ejemplo, El tratamiento que se da en las consultas de its por parte del personal sanitario está mediado por el prejuicio de que los gais y otras identidades no normativas son promiscuos e irresponsables con su salud sexual"                                                                                                                                                                                                                                                                                                                         ,"Sí, es muy necesario."                             ,"No tiene sentido tal separación."                     ,"La comunidad es un frente de resistencia y solidaridad contra la discriminación "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Es difícil, pero no imposible."                                     ,"Si, agresión verbal."                                                                                     ,"Contexto académico."                                                                                ,"Muy de acuerdo."                                                                                                                       ,"Abiertamente, sin filtros"                                      ,"Muy de acuerdo."                                                          ,"La mayoría de mis relaciones/encuentros las he conocido online."                                  ,"9"                                                                                             ,"Si entras a una app de citas entiendo lo que buscas y estás de acuerdo a ese intercambio con los otros que también se encuentran en esos sitios, pues vas a estar satisfecho "                                                                                                                                                                                                                                                                                                                                             ,"10"                                                                                                                                           ,""
"2024/03/09 11:15:16 a. m. GMT-4" ,"20"                ,"La Habana"               ,"Plaza de La Revolución"                                            ,"Agnósticismo"             ,"En una relación sin vivir juntos"  ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Medio-Superior (Preuniversitario)"    ,"(4) Muy Generalizado"                                                                                  ,"(4) Rara vez"                                                                      ,"(2) Muy frecuentemente"                                                            ,"Esta bien actualmente."                                                                                                                    ,"Sí, en la educación secundaria."                                                                 ,"Sí, totalmente de acuerdo."                                   ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No es necesario, pero no me molestaría."           ,"Tal vez, deberían diferenciarse."                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Es bastante sencillo."                                              ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"Está bien actualmente."                                                                                                                ,"Abiertamente, sin filtros"                                      ,"No tengo una opinión formada."                                            ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 11:22:46 a. m. GMT-4" ,"22"                ,"La Habana"               ,"Boyeros"                                                           ,"Otra"                     ,"En una relación sin vivir juntos"  ,"Heterosexual."      ,"Femenino"                ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(0) Desconozco"                                                                                        ,"(3) A veces"                                                                       ,"(1) Todo el tiempo"                                                                ,"De acuerdo."                                                                                                                               ,"Sí, en la educación secundaria."                                                                 ,"No, la comunidad es más que solo sexo."                       ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No es necesario, pero no me molestaría."           ,"Tal vez, deberían diferenciarse."                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"De acuerdo."                                                                                                                           ,"Selectivamente abierta."                                        ,"Muy en desacuerdo."                                                       ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
